region,county,district_name,total_enrollment,tea_description,bill_category,average_base_pay,alice_threshold_hh_under_65,difference
15,TOM GREEN COUNTY,WATER VALLEY ISD,319,Rural,under 1600,53654,50000,3654
13,TRAVIS COUNTY,AUSTIN ISD,72830,Major Urban,over 5000,60821,66192.2506750294,-5371
13,TRAVIS COUNTY,DEL VALLE ISD,11287,Major Suburban,over 5000,62962,66192.2506750294,-3230
13,TRAVIS COUNTY,EANES ISD,7738,Major Suburban,over 5000,62018,66192.2506750294,-4174
13,TRAVIS COUNTY,LAGO VISTA ISD,1846,Non-metropolitan Fast Growing,under 5000,60220,66192.2506750294,-5972
13,TRAVIS COUNTY,LAKE TRAVIS ISD,11272,Major Suburban,over 5000,63185,66192.2506750294,-3007
13,TRAVIS COUNTY,MANOR ISD,9658,Major Suburban,over 5000,67471,66192.2506750294,1279
13,TRAVIS COUNTY,PFLUGERVILLE ISD,25297,Major Suburban,over 5000,58826,66192.2506750294,-7366
13,TRAVIS COUNTY,UNIVERSITY OF TEXAS AT AUSTIN H S,788,Major Suburban,under 1600,68949,66192.2506750294,2757
06,TRINITY COUNTY,APPLE SPRINGS ISD,207,Rural,under 300,60545,49126.6864864865,11418
06,TRINITY COUNTY,CENTERVILLE ISD,823,Rural,under 1600,57271,49126.6864864865,8144
06,TRINITY COUNTY,GROVETON ISD,771,Rural,under 1600,57340,49126.6864864865,8213
06,TRINITY COUNTY,TRINITY ISD,1220,Non-metropolitan Stable,under 1600,51335,49126.6864864865,2208
05,TYLER COUNTY,CHESTER ISD,187,Rural,under 300,54943,50000,4943
05,TYLER COUNTY,COLMESNEIL ISD,401,Rural,under 1600,63570,50000,13570
05,TYLER COUNTY,SPURGER ISD,368,Rural,under 1600,52603,50000,2603
05,TYLER COUNTY,WARREN ISD,1197,Non-metropolitan Stable,under 1600,59767,50000,9767
05,TYLER COUNTY,WOODVILLE ISD,1215,Non-metropolitan Stable,under 1600,55147,50000,5147
07,UPSHUR COUNTY,BIG SANDY ISD,1197,Rural,under 1600,49035,60251.1129402756,-11216
07,UPSHUR COUNTY,GILMER ISD,2923,Other Central City Suburban,under 5000,52167,60251.1129402756,-8084
07,UPSHUR COUNTY,HARMONY ISD,981,Non-metropolitan Stable,under 1600,53550,60251.1129402756,-6701
07,UPSHUR COUNTY,NEW DIANA ISD,1164,Other Central City Suburban,under 1600,59545,60251.1129402756,-706
07,UPSHUR COUNTY,ORE CITY ISD,807,Rural,under 1600,52979,60251.1129402756,-7272
07,UPSHUR COUNTY,UNION GROVE ISD,737,Rural,under 1600,51016,60251.1129402756,-9235
07,UPSHUR COUNTY,UNION HILL ISD,276,Rural,under 300,52969,60251.1129402756,-7282
18,UPTON COUNTY,MCCAMEY ISD,498,Rural,under 1600,62361,40000,22361
18,UPTON COUNTY,RANKIN ISD,295,Rural,under 300,57649,40000,17649
20,UVALDE COUNTY,KNIPPA ISD,398,Rural,under 1600,50764,45000,5764
20,UVALDE COUNTY,SABINAL ISD,466,Rural,under 1600,54085,45000,9085
20,UVALDE COUNTY,UTOPIA ISD,201,Rural,under 300,52801,45000,7801
20,UVALDE COUNTY,UVALDE CISD,4062,Non-metropolitan Stable,under 5000,57484,45000,12484
15,VAL VERDE COUNTY,COMSTOCK ISD,200,Rural,under 300,54466,50000,4466
15,VAL VERDE COUNTY,SAN FELIPE-DEL RIO CISD,9907,Independent Town,over 5000,60152,50000,10152
10,VAN ZANDT COUNTY,CANTON ISD,2367,Independent Town,under 5000,57346,50000,7346
07,VAN ZANDT COUNTY,EDGEWOOD ISD,8980,Non-metropolitan Stable,over 5000,57322,50000,7322
07,VAN ZANDT COUNTY,FRUITVALE ISD,401,Rural,under 1600,54746,50000,4746
07,VAN ZANDT COUNTY,GRAND SALINE ISD,1176,Non-metropolitan Stable,under 1600,55037,50000,5037
07,VAN ZANDT COUNTY,MARTINS MILL ISD,485,Rural,under 1600,59850,50000,9850
07,VAN ZANDT COUNTY,VAN ISD,2351,Other Central City Suburban,under 5000,56712,50000,6712
10,VAN ZANDT COUNTY,WILLS POINT ISD,2863,Independent Town,under 5000,66718,50000,16718
03,VICTORIA COUNTY,BLOOMINGTON ISD,906,Rural,under 1600,52262,64421.1237877924,-12159
03,VICTORIA COUNTY,NURSERY ISD,137,Rural,under 300,53331,64421.1237877924,-11090
03,VICTORIA COUNTY,VICTORIA ISD,13027,Independent Town,over 5000,51901,64421.1237877924,-12520
06,WALKER COUNTY,HUNTSVILLE ISD,11318,Independent Town,over 5000,55814,60000,-4186
06,WALKER COUNTY,NEW WAVERLY ISD,1066,Non-metropolitan Stable,under 1600,63360,60000,3360
04,WALLER COUNTY,HEMPSTEAD ISD,1582,Non-metropolitan Stable,under 1600,56866,60000,-3134
04,WALLER COUNTY,ROYAL ISD,2729,Non-metropolitan Stable,under 5000,65234,60000,5234
04,WALLER COUNTY,WALLER ISD,9283,Independent Town,over 5000,66883,60000,6883
18,WARD COUNTY,GRANDFALLS-ROYALTY ISD,138,Rural,under 300,63393,50000,13393
18,WARD COUNTY,MONAHANS-WICKETT-PYOTE ISD,2200,Other Central City Suburban,under 5000,59994,50000,9994
06,WASHINGTON COUNTY,BRENHAM ISD,4865,Independent Town,under 5000,57303,55397.5215586075,1905
06,WASHINGTON COUNTY,BURTON ISD,588,Rural,under 1600,62294,55397.5215586075,6896
01,WEBB COUNTY,LAREDO ISD,20592,Other Central City Suburban,over 5000,60882,50000,10882
01,WEBB COUNTY,UNITED ISD,41203,Other Central City,over 5000,61559,50000,11559
01,WEBB COUNTY,WEBB CISD,256,Rural,under 300,67083,50000,17083
03,WHARTON COUNTY,BOLING ISD,1145,Non-metropolitan Stable,under 1600,54387,58897.9203065134,-4511
03,WHARTON COUNTY,EAST BERNARD ISD,1002,Non-metropolitan Stable,under 1600,54539,58897.9203065134,-4359
03,WHARTON COUNTY,EL CAMPO ISD,3326,Independent Town,under 5000,61070,58897.9203065134,2172
03,WHARTON COUNTY,LOUISE ISD,521,Rural,under 1600,58597,58897.9203065134,-301
03,WHARTON COUNTY,WHARTON ISD,1823,Non-metropolitan Stable,under 5000,57724,58897.9203065134,-1174
16,WHEELER COUNTY,FORT ELLIOTT CISD,158,Rural,under 300,49030,50000,-970
16,WHEELER COUNTY,KELTON ISD,140,Rural,under 300,55110,50000,5110
16,WHEELER COUNTY,SHAMROCK ISD,344,Rural,under 1600,52306,50000,2306
16,WHEELER COUNTY,WHEELER ISD,386,Rural,under 1600,52382,50000,2382
09,WICHITA COUNTY,BURKBURNETT ISD,3267,Other Central City Suburban,under 5000,53515,56398.5661195253,-2884
09,WICHITA COUNTY,CITY VIEW ISD,1170,Other Central City Suburban,under 1600,51734,56398.5661195253,-4665
09,WICHITA COUNTY,ELECTRA ISD,444,Rural,under 1600,54333,56398.5661195253,-2066
09,WICHITA COUNTY,IOWA PARK CISD,1938,Other Central City Suburban,under 5000,56054,56398.5661195253,-345
09,WICHITA COUNTY,WICHITA FALLS ISD,12868,Other Central City,over 5000,56019,56398.5661195253,-380
09,WILBARGER COUNTY,HARROLD ISD,152,Rural,under 300,57979,50000,7979
09,WILBARGER COUNTY,NORTHSIDE ISD,101329,Rural,over 5000,58505,50000,8505
09,WILBARGER COUNTY,VERNON ISD,1769,Non-metropolitan Stable,under 5000,55940,50000,5940
01,WILLACY COUNTY,LASARA ISD,356,Rural,under 1600,54264,60000,-5736
01,WILLACY COUNTY,LYFORD CISD,1440,Non-metropolitan Stable,under 1600,54784,60000,-5216
01,WILLACY COUNTY,RAYMONDVILLE ISD,1975,Other Central City Suburban,under 5000,59168,60000,-832
01,WILLACY COUNTY,SAN PERLITA ISD,212,Rural,under 300,53192,60000,-6808
13,WILLIAMSON COUNTY,COUPLAND ISD,296,Rural,under 300,53166,60000,-6834
13,WILLIAMSON COUNTY,FLORENCE ISD,1153,Non-metropolitan Stable,under 1600,58294,60000,-1706
13,WILLIAMSON COUNTY,GEORGETOWN ISD,13472,Other Central City Suburban,over 5000,58463,60000,-1537
13,WILLIAMSON COUNTY,GRANGER ISD,561,Non-metropolitan Fast Growing,under 1600,56877,60000,-3123
13,WILLIAMSON COUNTY,HUTTO ISD,10035,Other Central City Suburban,over 5000,58724,60000,-1276
13,WILLIAMSON COUNTY,JARRELL ISD,3713,Non-metropolitan Fast Growing,under 5000,59954,60000,-46
13,WILLIAMSON COUNTY,LEANDER ISD,42593,Major Suburban,over 5000,60564,60000,564
13,WILLIAMSON COUNTY,LIBERTY HILL ISD,8829,Other Central City Suburban,over 5000,58494,60000,-1506
13,WILLIAMSON COUNTY,ROUND ROCK ISD,46197,Major Suburban,over 5000,60407,60000,407
13,WILLIAMSON COUNTY,TAYLOR ISD,3063,Non-metropolitan Stable,under 5000,59192,60000,-808
13,WILLIAMSON COUNTY,THRALL ISD,852,Rural,under 1600,58642,60000,-1358
20,WILSON COUNTY,FLORESVILLE ISD,4080,Independent Town,under 5000,58434,60000,-1566
20,WILSON COUNTY,LA VERNIA ISD,3467,Independent Town,under 5000,65271,60000,5271
20,WILSON COUNTY,POTH ISD,949,Non-metropolitan Stable,under 1600,51084,60000,-8916
20,WILSON COUNTY,STOCKDALE ISD,862,Rural,under 1600,56511,60000,-3489
18,WINKLER COUNTY,KERMIT ISD,1342,Other Central City Suburban,under 1600,58717,50000,8717
18,WINKLER COUNTY,WINK-LOVING ISD,445,Rural,under 1600,62368,50000,12368
11,WISE COUNTY,ALVORD ISD,850,Rural,under 1600,55795,68331.4259656063,-12536
11,WISE COUNTY,BOYD ISD,1293,Non-metropolitan Stable,under 1600,56990,68331.4259656063,-11341
11,WISE COUNTY,BRIDGEPORT ISD,2119,Non-metropolitan Stable,under 5000,55961,68331.4259656063,-12370
11,WISE COUNTY,CHICO ISD,558,Rural,under 1600,62805,68331.4259656063,-5526
11,WISE COUNTY,DECATUR ISD,3811,Independent Town,under 5000,61048,68331.4259656063,-7283
11,WISE COUNTY,PARADISE ISD,1304,Non-metropolitan Stable,under 1600,59841,68331.4259656063,-8490
11,WISE COUNTY,SLIDELL ISD,482,Non-metropolitan Fast Growing,under 1600,53258,68331.4259656063,-15073
07,WOOD COUNTY,ALBA-GOLDEN ISD,834,Rural,under 1600,55197,60045.4312530237,-4848
07,WOOD COUNTY,HAWKINS ISD,792,Rural,under 1600,52078,60045.4312530237,-7967
07,WOOD COUNTY,MINEOLA ISD,1662,Independent Town,under 5000,54050,60045.4312530237,-5995
07,WOOD COUNTY,QUITMAN ISD,1210,Independent Town,under 1600,52245,60045.4312530237,-7800
07,WOOD COUNTY,WINNSBORO ISD,1483,Independent Town,under 1600,50864,60045.4312530237,-9181
07,WOOD COUNTY,YANTIS ISD,348,Rural,under 1600,50178,60045.4312530237,-9867
17,YOAKUM COUNTY,DENVER CITY ISD,1505,Non-metropolitan Stable,under 1600,60269,50000,10269
17,YOAKUM COUNTY,PLAINS ISD,421,Rural,under 1600,57201,50000,7201
09,YOUNG COUNTY,GRAHAM ISD,2183,Non-metropolitan Stable,under 5000,63311,45000,18311
09,YOUNG COUNTY,NEWCASTLE ISD,225,Rural,under 300,59463,45000,14463
09,YOUNG COUNTY,OLNEY ISD,728,Rural,under 1600,52496,45000,7496
01,ZAPATA COUNTY,ZAPATA COUNTY ISD,3359,Other Central City Suburban,under 5000,56221,50000,6221
20,ZAVALA COUNTY,CRYSTAL CITY ISD,1716,Non-metropolitan Stable,under 5000,54812,50000,4812
20,ZAVALA COUNTY,LA PRYOR ISD,444,Rural,under 1600,55819,50000,5819
