region,county,district_name,total_enrollment,tea_description,bill_category,average_base_pay,alice_threshold_hh_under_65,difference
14,EASTLAND COUNTY,EASTLAND ISD,1067,Non-metropolitan Stable,under 1600,52898,50000,2898
14,EASTLAND COUNTY,GORMAN ISD,247,Rural,under 300,52480,50000,2480
14,EASTLAND COUNTY,RANGER ISD,295,Rural,under 300,49105,50000,-895
14,EASTLAND COUNTY,RISING STAR ISD,194,Rural,under 300,48104,50000,-1896
18,ECTOR COUNTY,ECTOR COUNTY ISD,33426,Other Central City,over 5000,63135,50000,13135
15,EDWARDS COUNTY,NUECES CANYON CISD,239,Rural,under 300,54886,50000,4886
15,EDWARDS COUNTY,ROCKSPRINGS ISD,211,Rural,under 300,52030,50000,2030
19,EL PASO COUNTY,ANTHONY ISD,752,Rural,under 1600,64991,59409.950314215,5581
19,EL PASO COUNTY,CANUTILLO ISD,5904,Major Suburban,over 5000,64381,59409.950314215,4971
19,EL PASO COUNTY,CLINT ISD,10260,Major Suburban,over 5000,63075,59409.950314215,3665
